UIC;Gare enquêtée;Motif du déplacement;Répartition;Année
171009;Reims;Déplacement domicile - étude (y compris stage);25;2019
141002;Nancy;Loisirs, vacances, visite d'un proche ou ami;23;2017
113001;Paris Est;Déplacement domicile - travail habituel;51;2015
118000;Troyes;Déplacement domicile - travail habituel;41;2018
118000;Troyes;Déplacement professionnel occasionnel;18;2018
286005;Lille Flandres;Démarches administratives, médicales ou achat;1;2016
223263;Lille Europe;Loisirs, vacances, visite d'un proche ou ami;27;2016
212027;Strasbourg;Démarches administratives, médicales ou achat;3;2019
212027;Strasbourg;Déplacement domicile - étude (y compris stage);24;2019
286005;Lille Flandres;Déplacement domicile - travail habituel;50;2016
271007;Paris Nord;Déplacement domicile - travail habituel;46;2015
212027;Strasbourg;Déplacement professionnel occasionnel;15;2019
182063;Mulhouse;Déplacement professionnel occasionnel;19;2017
192039;Metz;Déplacement domicile - travail habituel;41;2019
271494;Aéroport Charles de Gaulle 2 TGV;;1;2016
391003;Paris Montparnasse 1 et 2 + Vaugirard;Démarches administratives, médicales ou achat;4;2015
391003;Paris Montparnasse 1 et 2 + Vaugirard;Loisirs, vacances, visite d'un proche ou ami;30;2015
300863;Besançon Franche-Comté TGV;Démarches administratives, médicales ou achat;0;2018
300822;Belfort Montbéliard TGV;Loisirs, vacances, visite d'un proche ou ami;25;2018
300822;Belfort Montbéliard TGV;Déplacement professionnel occasionnel;59;2018
411017;Rouen Rive Droite;Déplacement professionnel occasionnel;14;2017
396002;Le Mans;Démarches administratives, médicales ou achat;4;2018
313874;Amiens;Loisirs, vacances, visite d'un proche ou ami;13;2018
345025;Lens;Démarches administratives, médicales ou achat;3;2019
444000;Caen;Démarches administratives, médicales ou achat;4;2015
763029;Valence TGV Rhône-Alpes Sud;Loisirs, vacances, visite d'un proche ou ami;39;2018
763029;Valence TGV Rhône-Alpes Sud;Déplacement domicile - travail habituel;9;2018
762906;Lyon Saint Exupery TGV;Déplacement domicile - étude (y compris stage);0;2019
755009;Toulon;Démarches administratives, médicales ou achat;3;2017
753657;Arles;Déplacement domicile - étude (y compris stage);17;2017
775007;Nîmes;Démarches administratives, médicales ou achat;2;2017
756056;Nice;Déplacement domicile - étude (y compris stage);20;2017
775007;Nîmes;Déplacement domicile - travail habituel;25;2017
755009;Toulon;Déplacement professionnel occasionnel;11;2017
753657;Arles;Déplacement professionnel occasionnel;16;2017
581009;Bordeaux Saint-Jean;Déplacement domicile - étude (y compris stage);20;2017
581009;Bordeaux Saint-Jean;Démarches administratives, médicales ou achat;3;2017
581009;Bordeaux Saint-Jean;Loisirs, vacances, visite d'un proche ou ami;38;2017
484006;Angers Saint Laud;Démarches administratives, médicales ou achat;2;2018
611004;Toulouse Matabiau;Démarches administratives, médicales ou achat;6;2017
581009;Bordeaux Saint-Jean;Déplacement domicile - travail habituel;17;2017
547000;Paris Austerlitz;Déplacement domicile - travail habituel;37;2016
484006;Angers Saint Laud;Déplacement professionnel occasionnel;25;2018
547000;Paris Austerlitz;Déplacement professionnel occasionnel;21;2016
481002;Nantes;Déplacement domicile - étude (y compris stage);10;2017
751008;Marseille Saint-Charles;Déplacement professionnel occasionnel;17;2016
722025;Lyon Perrache;Démarches administratives, médicales ou achat;4;2014
722025;Lyon Perrache;Loisirs, vacances, visite d'un proche ou ami;13;2014
723197;Lyon Part Dieu;Déplacement domicile - travail habituel;34;2014
722025;Lyon Perrache;Déplacement domicile - travail habituel;53;2014
722025;Lyon Perrache;Déplacement professionnel occasionnel;13;2014
713040;Dijon;Démarches administratives, médicales ou achat;5;2018
677005;Hendaye;Déplacement domicile - travail habituel;5;2019
753657;Arles;Déplacement domicile - travail habituel;25;2017
723197;Lyon Part Dieu;;0;2014
444877;Cherbourg;Déplacement domicile - étude (y compris stage);6;2018
444877;Cherbourg;Démarches administratives, médicales ou achat;2;2018
478404;Laval;Déplacement domicile - étude (y compris stage);12;2014
478404;Laval;Démarches administratives, médicales ou achat;3;2014
444877;Cherbourg;Déplacement professionnel occasionnel;16;2018
476002;Lorient;Déplacement domicile - travail habituel;24;2013
471003;Rennes;Déplacement domicile - travail habituel;37;2017
478404;Laval;Déplacement professionnel occasionnel;18;2014
444000;Caen;Déplacement professionnel occasionnel;12;2015
471003;Rennes;;1;2017
784009;Perpignan;Déplacement domicile - étude (y compris stage);8;2019
