UIC;Gare enquêtée;Distance parcourue;Répartition;Année
581009;Bordeaux Saint-Jean;Plus de 100 km;5;2016
581009;Bordeaux Saint-Jean;20 à 30 km;1;2016
484006;Angers Saint Laud;08 à 10 km;2;2017
476002;Lorient;Moins de 2 km;78;2012
583005;Angoulême;50 à 100 km;2;2014
571000;Tours;Plus de 100 km;3;2018
571000;Tours;Moins de 2 km;73;2018
476002;Lorient;30 à 50 km;3;2012
481002;Nantes;02 à 04 km;2;2016
571000;Tours;02 à 04 km;2;2018
686006;Paris Gare de Lyon;50 à 100 km;2;2014
686006;Paris Gare de Lyon;30 à 50 km;3;2014
583005;Angoulême;Moins de 2 km;49;2014
673004;Bayonne;Plus de 100 km;1;2015
673004;Bayonne;Moins de 2 km;47;2015
673400;Biarritz;20 à 30 km;2;2018
673004;Bayonne;04 à 06 km;6;2015
677005;Hendaye;10 à 15 km;8;2018
677005;Hendaye;20 à 30 km;9;2018
713040;Dijon;04 à 06 km;3;2017
411017;Rouen Rive Droite;10 à 15 km;3;2016
471003;Rennes;Moins de 2 km;74;2016
444877;Cherbourg;10 à 15 km;4;2017
476002;Lorient;06 à 08 km;2;2012
476002;Lorient;08 à 10 km;2;2012
471003;Rennes;50 à 100 km;3;2016
471003;Rennes;04 à 06 km;6;2016
471003;Rennes;06 à 08 km;2;2016
444000;Caen;08 à 10 km;1;2014
444000;Caen;20 à 30 km;1;2014
763029;Valence TGV Rhône-Alpes Sud;50 à 100 km;12;2017
784009;Perpignan;15 à 20 km;4;2018
784009;Perpignan;08 à 10 km;1;2018
775007;Nîmes;50 à 100 km;2;2016
784009;Perpignan;50 à 100 km;2;2018
411017;Rouen Rive Droite;Moins de 2 km;58;2016
384008;Paris St Lazare;50 à 100 km;0;2015
384008;Paris St Lazare;20 à 30 km;1;2015
393702;Massy TGV;Plus de 100 km;4;2015
393702;Massy TGV;Moins de 2 km;32;2015
393702;Massy TGV;20 à 30 km;6;2015
396002;Le Mans;30 à 50 km;5;2017
396002;Le Mans;08 à 10 km;1;2017
345025;Lens;04 à 06 km;9;2018
345025;Lens;10 à 15 km;4;2018
300863;Besançon Franche-Comté TGV;04 à 06 km;6;2017
300863;Besançon Franche-Comté TGV;06 à 08 km;1;2017
319012;Aix en Provence-TGV;50 à 100 km;10;2017
319012;Aix en Provence-TGV;10 à 15 km;44;2017
319012;Aix en Provence-TGV;06 à 08 km;2;2017
318964;Avignon TGV;Moins de 2 km;37;2017
318964;Avignon TGV;50 à 100 km;4;2017
318964;Avignon TGV;30 à 50 km;20;2017
313874;Amiens;Plus de 100 km;3;2017
313874;Amiens;50 à 100 km;3;2017
763029;Valence TGV Rhône-Alpes Sud;10 à 15 km;6;2017
773002;Montpellier Saint-Roch;15 à 20 km;2;2017
773002;Montpellier Saint-Roch;06 à 08 km;3;2017
784009;Perpignan;Moins de 2 km;60;2018
784009;Perpignan;10 à 15 km;12;2018
784009;Perpignan;02 à 04 km;0;2018
775007;Nîmes;Moins de 2 km;60;2016
775007;Nîmes;15 à 20 km;7;2016
751008;Marseille Saint-Charles;15 à 20 km;5;2015
751008;Marseille Saint-Charles;30 à 50 km;5;2015
723197;Lyon Part Dieu;20 à 30 km;1;2013
722025;Lyon Perrache;02 à 04 km;22;2013
722025;Lyon Perrache;10 à 15 km;2;2013
747006;Grenoble;Moins de 2 km;71;2017
753657;Arles;Plus de 100 km;1;2016
747006;Grenoble;04 à 06 km;13;2017
755009;Toulon;08 à 10 km;4;2016
753657;Arles;10 à 15 km;2;2016
686006;Paris Gare de Lyon;02 à 04 km;16;2014
611004;Toulouse Matabiau;10 à 15 km;4;2016
718007;Besançon-Viotte;02 à 04 km;1;2014
673400;Biarritz;Plus de 100 km;2;2018
673400;Biarritz;15 à 20 km;1;2018
673400;Biarritz;02 à 04 km;5;2018
677005;Hendaye;15 à 20 km;3;2018
673004;Bayonne;02 à 04 km;18;2015
713040;Dijon;15 à 20 km;1;2017
713040;Dijon;08 à 10 km;2;2017
411017;Rouen Rive Droite;Plus de 100 km;2;2016
444877;Cherbourg;02 à 04 km;6;2017
444877;Cherbourg;04 à 06 km;4;2017
444877;Cherbourg;06 à 08 km;2;2017
478404;Laval;Moins de 2 km;65;2013
476002;Lorient;15 à 20 km;2;2012
471003;Rennes;30 à 50 km;3;2016
481002;Nantes;04 à 06 km;2;2016
478404;Laval;10 à 15 km;3;2013
444000;Caen;15 à 20 km;1;2014
763029;Valence TGV Rhône-Alpes Sud;02 à 04 km;5;2017
763029;Valence TGV Rhône-Alpes Sud;06 à 08 km;6;2017
757625;Cannes;Plus de 100 km;1;2017
757625;Cannes;Moins de 2 km;70;2017
756056;Nice;Plus de 100 km;1;2016
755009;Toulon;50 à 100 km;2;2016
755009;Toulon;20 à 30 km;10;2016
755009;Toulon;30 à 50 km;5;2016
755009;Toulon;10 à 15 km;7;2016
757625;Cannes;15 à 20 km;1;2017
300822;Belfort Montbéliard TGV;Plus de 100 km;4;2017
300822;Belfort Montbéliard TGV;50 à 100 km;1;2017
300822;Belfort Montbéliard TGV;10 à 15 km;29;2017
300822;Belfort Montbéliard TGV;04 à 06 km;3;2017
286005;Lille Flandres;04 à 06 km;5;2015
286005;Lille Flandres;30 à 50 km;0;2015
271007;Paris Nord;Plus de 100 km;3;2014
271007;Paris Nord;50 à 100 km;0;2014
271007;Paris Nord;06 à 08 km;19;2014
271007;Paris Nord;08 à 10 km;3;2014
547000;Paris Austerlitz;Plus de 100 km;5;2015
547000;Paris Austerlitz;Moins de 2 km;13;2015
547000;Paris Austerlitz;20 à 30 km;3;2015
481002;Nantes;Moins de 2 km;64;2016
575001;Poitiers;15 à 20 km;2;2017
481002;Nantes;50 à 100 km;4;2016
481002;Nantes;06 à 08 km;6;2016
481002;Nantes;10 à 15 km;6;2016
481002;Nantes;20 à 30 km;3;2016
571000;Tours;15 à 20 km;1;2018
581009;Bordeaux Saint-Jean;Moins de 2 km;62;2016
581009;Bordeaux Saint-Jean;15 à 20 km;3;2016
581009;Bordeaux Saint-Jean;30 à 50 km;3;2016
581009;Bordeaux Saint-Jean;08 à 10 km;5;2016
581009;Bordeaux Saint-Jean;10 à 15 km;6;2016
575001;Poitiers;Plus de 100 km;5;2017
583005;Angoulême;08 à 10 km;2;2014
583005;Angoulême;10 à 15 km;3;2014
583005;Angoulême;20 à 30 km;4;2014
575001;Poitiers;20 à 30 km;4;2017
212027;Strasbourg;06 à 08 km;3;2018
212027;Strasbourg;10 à 15 km;1;2018
111849;Marne la Vallée Chessy;Plus de 100 km;1;2015
111849;Marne la Vallée Chessy;30 à 50 km;8;2015
111849;Marne la Vallée Chessy;06 à 08 km;4;2015
111849;Marne la Vallée Chessy;10 à 15 km;3;2015
113001;Paris Est;30 à 50 km;2;2014
113001;Paris Est;02 à 04 km;27;2014
118000;Troyes;10 à 15 km;4;2017
;Paris Bercy;Moins de 2 km;8;2014
;Paris Bercy;08 à 10 km;9;2014
300863;Besançon Franche-Comté TGV;50 à 100 km;6;2017
319012;Aix en Provence-TGV;Plus de 100 km;4;2017
319012;Aix en Provence-TGV;15 à 20 km;4;2017
319012;Aix en Provence-TGV;20 à 30 km;16;2017
384008;Paris St Lazare;02 à 04 km;18;2015
384008;Paris St Lazare;04 à 06 km;18;2015
345025;Lens;Plus de 100 km;1;2018
313874;Amiens;06 à 08 km;0;2017
313874;Amiens;10 à 15 km;1;2017
345025;Lens;15 à 20 km;7;2018
271494;Aéroport Charles de Gaulle 2 TGV;50 à 100 km;6;2015
271494;Aéroport Charles de Gaulle 2 TGV;02 à 04 km;1;2015
300822;Belfort Montbéliard TGV;15 à 20 km;4;2017
300822;Belfort Montbéliard TGV;20 à 30 km;4;2017
286005;Lille Flandres;50 à 100 km;1;2015
286005;Lille Flandres;15 à 20 km;0;2015
212027;Strasbourg;50 à 100 km;2;2018
212027;Strasbourg;15 à 20 km;2;2018
212027;Strasbourg;08 à 10 km;1;2018
271007;Paris Nord;15 à 20 km;3;2014
411017;Rouen Rive Droite;06 à 08 km;4;2016
396002;Le Mans;Plus de 100 km;4;2017
396002;Le Mans;Moins de 2 km;74;2017
393702;Massy TGV;10 à 15 km;17;2015
444877;Cherbourg;15 à 20 km;4;2017
396002;Le Mans;04 à 06 km;3;2017
396002;Le Mans;20 à 30 km;3;2017
444000;Caen;50 à 100 km;3;2014
444000;Caen;06 à 08 km;3;2014
444000;Caen;04 à 06 km;7;2014
142109;Lorraine TGV;Plus de 100 km;2;2019
142109;Lorraine TGV;15 à 20 km;28;2019
212027;Strasbourg;04 à 06 km;3;2018
182063;Mulhouse;30 à 50 km;2;2016
192039;Metz;Plus de 100 km;2;2018
182014;Colmar;06 à 08 km;7;2019
182014;Colmar;08 à 10 km;3;2019
141002;Nancy;15 à 20 km;1;2016
141002;Nancy;06 à 08 km;3;2016
171009;Reims;10 à 15 km;2;2018
718007;Besançon-Viotte;50 à 100 km;2;2014
722025;Lyon Perrache;Plus de 100 km;2;2013
722025;Lyon Perrache;Moins de 2 km;52;2013
718007;Besançon-Viotte;06 à 08 km;2;2014
718007;Besançon-Viotte;20 à 30 km;2;2014
723197;Lyon Part Dieu;15 à 20 km;1;2013
722025;Lyon Perrache;04 à 06 km;12;2013
722025;Lyon Perrache;06 à 08 km;3;2013
713040;Dijon;50 à 100 km;2;2017
713040;Dijon;02 à 04 km;6;2017
686006;Paris Gare de Lyon;Plus de 100 km;7;2014
686006;Paris Gare de Lyon;Moins de 2 km;24;2014
686006;Paris Gare de Lyon;08 à 10 km;8;2014
686006;Paris Gare de Lyon;10 à 15 km;10;2014
677005;Hendaye;Plus de 100 km;2;2018
673400;Biarritz;50 à 100 km;1;2018
673400;Biarritz;04 à 06 km;15;2018
673004;Bayonne;15 à 20 km;7;2015
673004;Bayonne;20 à 30 km;3;2015
673004;Bayonne;08 à 10 km;0;2015
484006;Angers Saint Laud;04 à 06 km;5;2017
484006;Angers Saint Laud;10 à 15 km;3;2017
547000;Paris Austerlitz;04 à 06 km;23;2015
547000;Paris Austerlitz;10 à 15 km;8;2015
547000;Paris Austerlitz;06 à 08 km;7;2015
444877;Cherbourg;50 à 100 km;0;2017
444877;Cherbourg;30 à 50 km;2;2017
471003;Rennes;15 à 20 km;2;2016
478404;Laval;30 à 50 km;5;2013
478404;Laval;06 à 08 km;5;2013
751008;Marseille Saint-Charles;02 à 04 km;63;2015
747006;Grenoble;06 à 08 km;2;2017
747006;Grenoble;30 à 50 km;1;2017
611004;Toulouse Matabiau;Plus de 100 km;4;2016
611004;Toulouse Matabiau;15 à 20 km;1;2016
547000;Paris Austerlitz;50 à 100 km;1;2015
583005;Angoulême;30 à 50 km;10;2014
575001;Poitiers;50 à 100 km;7;2017
583005;Angoulême;02 à 04 km;9;2014
575001;Poitiers;02 à 04 km;2;2017
575001;Poitiers;04 à 06 km;3;2017
575001;Poitiers;06 à 08 km;1;2017
571000;Tours;04 à 06 km;5;2018
751008;Marseille Saint-Charles;Plus de 100 km;6;2015
753657;Arles;Moins de 2 km;81;2016
755009;Toulon;06 à 08 km;10;2016
755009;Toulon;15 à 20 km;1;2016
753657;Arles;50 à 100 km;0;2016
753657;Arles;15 à 20 km;4;2016
753657;Arles;20 à 30 km;5;2016
763029;Valence TGV Rhône-Alpes Sud;30 à 50 km;13;2017
723197;Lyon Part Dieu;10 à 15 km;4;2013
723197;Lyon Part Dieu;30 à 50 km;1;2013
722025;Lyon Perrache;50 à 100 km;1;2013
747006;Grenoble;50 à 100 km;2;2017
747006;Grenoble;08 à 10 km;1;2017
747006;Grenoble;10 à 15 km;2;2017
747006;Grenoble;20 à 30 km;1;2017
757625;Cannes;50 à 100 km;1;2017
757625;Cannes;10 à 15 km;5;2017
757625;Cannes;20 à 30 km;2;2017
757625;Cannes;30 à 50 km;0;2017
753657;Arles;30 à 50 km;4;2016
753657;Arles;06 à 08 km;2;2016
753657;Arles;08 à 10 km;1;2016
756056;Nice;50 à 100 km;0;2016
756056;Nice;06 à 08 km;1;2016
756056;Nice;04 à 06 km;0;2016
762906;Lyon Saint Exupery TGV;15 à 20 km;12;2018
762906;Lyon Saint Exupery TGV;20 à 30 km;10;2018
762906;Lyon Saint Exupery TGV;30 à 50 km;6;2018
142109;Lorraine TGV;20 à 30 km;26;2019
142109;Lorraine TGV;30 à 50 km;21;2019
142109;Lorraine TGV;08 à 10 km;6;2019
142109;Lorraine TGV;10 à 15 km;6;2019
182063;Mulhouse;Plus de 100 km;1;2016
212027;Strasbourg;20 à 30 km;3;2018
182014;Colmar;50 à 100 km;5;2019
141002;Nancy;04 à 06 km;8;2016
192039;Metz;50 à 100 km;3;2018
192039;Metz;15 à 20 km;3;2018
763029;Valence TGV Rhône-Alpes Sud;Plus de 100 km;5;2017
763029;Valence TGV Rhône-Alpes Sud;Moins de 2 km;27;2017
762906;Lyon Saint Exupery TGV;50 à 100 km;21;2018
784009;Perpignan;Plus de 100 km;2;2018
775007;Nîmes;Plus de 100 km;1;2016
784009;Perpignan;06 à 08 km;3;2018
784009;Perpignan;20 à 30 km;8;2018
775007;Nîmes;06 à 08 km;4;2016
300863;Besançon Franche-Comté TGV;08 à 10 km;4;2017
300863;Besançon Franche-Comté TGV;30 à 50 km;15;2017
300822;Belfort Montbéliard TGV;Moins de 2 km;37;2017
300822;Belfort Montbéliard TGV;02 à 04 km;6;2017
300822;Belfort Montbéliard TGV;08 à 10 km;5;2017
300822;Belfort Montbéliard TGV;30 à 50 km;5;2017
313874;Amiens;15 à 20 km;2;2017
313874;Amiens;02 à 04 km;1;2017
762906;Lyon Saint Exupery TGV;Moins de 2 km;1;2018
762906;Lyon Saint Exupery TGV;10 à 15 km;12;2018
757625;Cannes;02 à 04 km;5;2017
757625;Cannes;04 à 06 km;4;2017
757625;Cannes;08 à 10 km;10;2017
111849;Marne la Vallée Chessy;20 à 30 km;3;2015
111849;Marne la Vallée Chessy;08 à 10 km;3;2015
113001;Paris Est;Plus de 100 km;5;2014
118000;Troyes;Moins de 2 km;52;2017
113001;Paris Est;08 à 10 km;5;2014
113001;Paris Est;10 à 15 km;7;2014
118000;Troyes;15 à 20 km;3;2017
118000;Troyes;02 à 04 km;19;2017
;Paris Bercy;Plus de 100 km;4;2014
;Paris Bercy;30 à 50 km;2;2014
212027;Strasbourg;30 à 50 km;2;2018
182063;Mulhouse;04 à 06 km;5;2016
182063;Mulhouse;06 à 08 km;2;2016
182063;Mulhouse;10 à 15 km;3;2016
192039;Metz;Moins de 2 km;69;2018
182014;Colmar;20 à 30 km;5;2019
192039;Metz;30 à 50 km;5;2018
192039;Metz;04 à 06 km;3;2018
142109;Lorraine TGV;Moins de 2 km;0;2019
142109;Lorraine TGV;06 à 08 km;1;2019
182014;Colmar;02 à 04 km;1;2019
182014;Colmar;04 à 06 km;6;2019
171009;Reims;20 à 30 km;2;2018
171009;Reims;15 à 20 km;1;2018
171009;Reims;02 à 04 km;1;2018
171009;Reims;04 à 06 km;3;2018
171009;Reims;06 à 08 km;1;2018
171009;Reims;08 à 10 km;0;2018
113001;Paris Est;20 à 30 km;2;2014
